timestamp,data
10226000,39.0
10227000,44.0
10228000,36.0
10229000,48.0
10230000,49.0
10231000,19.0
10232000,38.0
10233000,46.0
10234000,42.0
10235000,55.0
10236000,41.0
10237000,31.0
10238000,39.0
10239000,36.0
10240000,41.0
10241000,47.0
10242000,31.0
10243000,45.0
10244000,33.0
10245000,34.0
10246000,39.0
10247000,35.0
10248000,44.0
10249000,54.0
10250000,44.0
10251000,42.0
10252000,35.0
10253000,33.0
10254000,42.0
10255000,39.0
10256000,35.0
10257000,40.0
10258000,50.0
10259000,40.0
10260000,34.0
10261000,40.0
10262000,30.0
10263000,50.0
10264000,38.0
10265000,38.0
10266000,35.0
10267000,35.0
10268000,32.0
10269000,49.0
10270000,38.0
10271000,43.0
10272000,31.0
10273000,36.0
10274000,35.0
10275000,41.0
10276000,45.0
10277000,42.0
10278000,31.0
10279000,35.0
10280000,40.0
10281000,46.0
10282000,31.0
10283000,37.0
10284000,47.0
10285000,30.0
10286000,45.0
10287000,38.0
10288000,41.0
10289000,42.0
10290000,32.0
10291000,46.0
10292000,38.0
10293000,45.0
10294000,29.0
10295000,41.0
10296000,48.0
10297000,46.0
10298000,40.0
10299000,38.0
10300000,41.0
10301000,55.0
10302000,50.0
10303000,55.0
10304000,38.0
10305000,25.0
10306000,40.0
10307000,44.0
10308000,35.0
10309000,43.0
10310000,45.0
10311000,40.0
10312000,39.0
10313000,33.0
10314000,44.0
10315000,41.0
10316000,31.0
10317000,40.0
10318000,45.0
10319000,46.0
10320000,39.0
10321000,40.0
10322000,47.0
10323000,37.0
10324000,40.0
10325000,47.0
10326000,41.0
10327000,44.0
10328000,43.0
10329000,52.0
10330000,48.0
10331000,36.0
10332000,49.0
10333000,58.0
10334000,47.0
10335000,46.0
10336000,50.0
10337000,38.0
10338000,35.0
10339000,38.0
10340000,28.0
10341000,46.0
10342000,31.0
10343000,34.0
10344000,45.0
10345000,27.0
10346000,31.0
10347000,49.0
10348000,37.0
10349000,36.0
10350000,38.0
10351000,29.0
10352000,39.0
10353000,37.0
10354000,43.0
10355000,35.0
10356000,42.0
10357000,39.0
10358000,34.0
10359000,52.0
10360000,57.0
10361000,35.0
10362000,34.0
10363000,50.0
10364000,39.0
10365000,30.0
10366000,40.0
10367000,38.0
10368000,35.0
10369000,40.0
10370000,50.0
10371000,47.0
10372000,40.0
10373000,51.0
10374000,42.0
10375000,35.0
10376000,31.0
10377000,43.0
10378000,41.0
10379000,32.0
10380000,45.0
10381000,38.0
10382000,35.0
10383000,32.0
10384000,47.0
10385000,44.0
10386000,37.0
10387000,32.0
10388000,45.0
10389000,44.0
10390000,29.0
10391000,41.0
10392000,39.0
10393000,36.0
10394000,42.0
10395000,37.0
10396000,45.0
10397000,41.0
10398000,34.0
10399000,32.0
10400000,37.0
10401000,43.0
10402000,49.0
10403000,33.0
10404000,33.0
10405000,43.0
10406000,44.0
10407000,39.0
10408000,38.0
10409000,38.0
10410000,42.0
10411000,41.0
10412000,32.0
10413000,49.0
10414000,36.0
10415000,46.0
10416000,44.0
10417000,47.0
10418000,58.0
10419000,50.0
10420000,35.0
10421000,36.0
10422000,36.0
10423000,33.0
10424000,35.0
10425000,35.0
10426000,35.0
10427000,55.0
10428000,39.0
10429000,35.0
10430000,44.0
10431000,33.0
10432000,40.0
10433000,35.0
10434000,43.0
10435000,42.0
10436000,40.0
10437000,34.0
10438000,31.0
10439000,45.0
10440000,42.0
10441000,34.0
10442000,39.0
10443000,50.0
10444000,38.0
10445000,37.0
10446000,47.0
10447000,43.0
10448000,43.0
10449000,39.0
10450000,39.0
10451000,34.0
10452000,46.0
10453000,43.0
10454000,38.0
10455000,43.0
10456000,46.0
10457000,33.0
10458000,43.0
10459000,37.0
10460000,42.0
10461000,38.0
10462000,51.0
10463000,38.0
10464000,45.0
10465000,30.0
10466000,47.0
10467000,36.0
10468000,28.0
10469000,34.0
10470000,47.0
10471000,52.0
10472000,41.0
10473000,30.0
10474000,33.0
10475000,49.0
10476000,33.0
10477000,41.0
10478000,39.0
10479000,39.0
10480000,42.0
10481000,52.0
10482000,35.0
10483000,37.0
10484000,28.0
10485000,40.0
10486000,49.0
10487000,36.0
10488000,39.0
10489000,41.0
10490000,39.0
10491000,38.0
10492000,41.0
10493000,47.0
10494000,39.0
10495000,41.0
10496000,36.0
10497000,47.0
10498000,30.0
10499000,42.0
10500000,48.0
10501000,52.0
10502000,30.0
10503000,47.0
10504000,43.0
10505000,40.0
10506000,41.0
10507000,37.0
10508000,34.0
10509000,42.0
10510000,44.0
10511000,32.0
10512000,60.0
10513000,36.0
10514000,40.0
10515000,37.0
10516000,42.0
10517000,41.0
10518000,32.0
10519000,37.0
10520000,36.0
10521000,38.0
10522000,23.0
10523000,49.0
10524000,39.0
10525000,39.0
10526000,37.0
10527000,39.0
10528000,48.0
10529000,34.0
10530000,36.0
10531000,48.0
10532000,52.0
10533000,42.0
10534000,43.0
10535000,35.0
10536000,42.0
10537000,32.0
10538000,47.0
10539000,40.0
10540000,34.0
10541000,40.0
10542000,36.0
10543000,31.0
10544000,34.0
10545000,33.0
10546000,34.0
10547000,43.0
10548000,36.0
10549000,42.0
10550000,29.0
10551000,39.0
10552000,33.0
10553000,45.0
10554000,54.0
10555000,25.0
10556000,44.0
10557000,42.0
10558000,49.0
10559000,43.0
10560000,49.0
10561000,46.0
10562000,47.0
10563000,29.0
10564000,40.0
10565000,40.0
10566000,41.0
10567000,38.0
10568000,35.0
10569000,41.0
10570000,48.0
10571000,44.0
10572000,44.0
10573000,44.0
10574000,33.0
10575000,34.0
10576000,44.0
10577000,36.0
10578000,28.0
10579000,45.0
10580000,41.0
10581000,42.0
10582000,43.0
10583000,43.0
10584000,39.0
10585000,37.0
10586000,38.0
10587000,36.0
10588000,37.0
10589000,39.0
10590000,50.0
10591000,36.0
10592000,44.0
10593000,38.0
10594000,42.0
10595000,42.0
10596000,44.0
10597000,36.0
10598000,42.0
10599000,36.0
10600000,41.0
10601000,45.0
10602000,41.0
10603000,42.0
10604000,48.0
10605000,39.0
10606000,39.0
10607000,43.0
10608000,37.0
10609000,45.0
10610000,27.0
10611000,36.0
10612000,45.0
10613000,32.0
10614000,44.0
10615000,53.0
10616000,37.0
10617000,42.0
10618000,40.0
10619000,41.0
10620000,38.0
10621000,48.0
10622000,39.0
10623000,34.0
10624000,36.0
10625000,38.0
10626000,45.0
10627000,38.0
10628000,48.0
10629000,40.0
10630000,36.0
10631000,38.0
10632000,40.0
10633000,50.0
10634000,44.0
10635000,48.0
10636000,31.0
10637000,45.0
10638000,44.0
10639000,43.0
10640000,42.0
10641000,34.0
10642000,42.0
10643000,37.0
10644000,41.0
10645000,39.0
10646000,39.0
10647000,44.0
10648000,25.0
10649000,49.0
10650000,43.0
10651000,26.0
10652000,37.0
10653000,32.0
10654000,36.0
10655000,37.0
10656000,37.0
10657000,41.0
10658000,39.0
10659000,33.0
10660000,39.0
10661000,38.0
10662000,50.0
10663000,32.0
10664000,46.0
10665000,33.0
10666000,43.0
10667000,32.0
10668000,48.0
10669000,39.0
10670000,49.0
10671000,44.0
10672000,36.0
10673000,47.0
10674000,33.0
10675000,49.0
10676000,38.0
10677000,48.0
10678000,41.0
10679000,38.0
10680000,39.0
10681000,28.0
10682000,40.0
10683000,37.0
10684000,42.0
10685000,47.0
10686000,46.0
10687000,46.0
10688000,35.0
10689000,36.0
10690000,41.0
10691000,37.0
10692000,50.0
10693000,35.0
10694000,43.0
10695000,37.0
10696000,38.0
10697000,46.0
10698000,42.0
